run_id,experiment_id,benchmark,config_name,agent,model,status,trial,duration_seconds,total_tokens,cost_usd,cost_provenance,validity,files_changed,insertions,deletions,execution_backend
20260824T222354Z-b97e23,20260824T213115Z-78d3985e,bankday,hermes-openrouter,hermes,stealth/ox-alpha,passed,3,160.0,175149,,unpriced,valid,1,17,9,host
20260824T222243Z-5ade6f,20260824T213115Z-78d3985e,bankday,hermes-openrouter,hermes,stealth/ox-alpha,passed,2,147.469,179102,,unpriced,valid,1571,488539,8,host
20260824T222212Z-de3fe9,20260824T213115Z-78d3985e,bankday,hermes-openrouter,hermes,stealth/ox-alpha,passed,1,102.031,131064,,unpriced,valid,1,17,10,host
20260824T222056Z-c20689,20260824T213115Z-78d3985e,bankday,claude-code,claude-code,stealth/ox-alpha[1m],passed,3,106.75,182859,0.293028,,valid,1,16,9,host
20260824T222042Z-2bbad4,20260824T213115Z-78d3985e,bankday,claude-code,claude-code,stealth/ox-alpha[1m],passed,2,89.422,218032,0.453677,,valid,1,16,9,host
20260824T221910Z-e87f2b,20260824T213115Z-78d3985e,bankday,claude-code,claude-code,stealth/ox-alpha[1m],passed,1,106.5,218054,0.34907299999999997,,valid,1,16,9,host
20260824T221742Z-18650d,20260824T213115Z-78d3985e,statediag,hermes-openrouter,hermes,stealth/ox-alpha,passed,3,179.907,153092,,unpriced,valid,1,2,6,host
20260824T221543Z-de1c93,20260824T213115Z-78d3985e,statediag,hermes-openrouter,hermes,stealth/ox-alpha,passed,2,206.453,222344,,unpriced,valid,1,2,6,host
20260824T221439Z-87e1fc,20260824T213115Z-78d3985e,statediag,hermes-openrouter,hermes,stealth/ox-alpha,passed,1,183.266,277375,,unpriced,valid,1,1,6,host
20260824T221358Z-8f56cc,20260824T213115Z-78d3985e,statediag,claude-code,claude-code,stealth/ox-alpha[1m],passed,3,105.344,284952,0.535726,,valid,2,4,7,host
20260824T221312Z-d0a8e9,20260824T213115Z-78d3985e,statediag,claude-code,claude-code,stealth/ox-alpha[1m],passed,2,86.704,213891,0.28875300000000004,,valid,1,1,6,host
20260824T221131Z-cbe127,20260824T213115Z-78d3985e,statediag,claude-code,claude-code,stealth/ox-alpha[1m],passed,1,146.515,316044,0.489399,,valid,2,5,7,host
20260824T221059Z-f816ba,20260824T213115Z-78d3985e,leasekit,hermes-openrouter,hermes,stealth/ox-alpha,passed,3,132.562,185671,,unpriced,valid,1,6,7,host
20260824T220700Z-e549a9,20260824T213115Z-78d3985e,leasekit,claude-code,claude-code,stealth/ox-alpha[1m],evaluation_failed,3,270.485,345655,0.547335,,valid,1,24,14,host
20260824T221013Z-96bac8,20260824T213115Z-78d3985e,leasekit,hermes-openrouter,hermes,,evaluation_failed,2,45.906,,,,valid,0,0,0,host
20260824T220726Z-223220,20260824T213115Z-78d3985e,leasekit,hermes-openrouter,hermes,stealth/ox-alpha,evaluation_failed,1,167.093,202011,,unpriced,valid,1,9,10,host
20260824T220040Z-efe7f8,20260824T213115Z-78d3985e,leasekit,claude-code,claude-code,stealth/ox-alpha[1m],evaluation_failed,1,405.656,451244,0.79454,,valid,1,43,19,host
20260824T220227Z-13ff7d,20260824T213115Z-78d3985e,leasekit,claude-code,claude-code,stealth/ox-alpha[1m],evaluation_failed,2,273.391,393642,0.6217010000000001,,valid,1,23,14,host
20260824T215803Z-ea4e2c,20260824T213115Z-78d3985e,vercomp,claude-code,claude-code,stealth/ox-alpha[1m],passed,3,263.406,264075,0.558137,,valid,1,41,7,host
20260824T220001Z-30db0d,20260824T213115Z-78d3985e,vercomp,hermes-openrouter,hermes,,evaluation_failed,3,39.422,,,,valid,0,0,0,host
20260824T215921Z-bf49c5,20260824T213115Z-78d3985e,vercomp,hermes-openrouter,hermes,,evaluation_failed,2,39.469,,,,valid,0,0,0,host
20260824T215840Z-4de161,20260824T213115Z-78d3985e,vercomp,hermes-openrouter,hermes,,evaluation_failed,1,41.485,,,,valid,0,0,0,host
20260824T215537Z-e00072,20260824T213115Z-78d3985e,vercomp,claude-code,claude-code,stealth/ox-alpha[1m],passed,2,182.594,260810,0.351593,,valid,1,20,6,host
20260824T215504Z-5d5e1a,20260824T213115Z-78d3985e,vercomp,claude-code,claude-code,stealth/ox-alpha[1m],passed,1,179.14,294747,0.47553900000000004,,valid,1,30,6,host
20260824T215457Z-7531bc,20260824T213115Z-78d3985e,tokenbucket,hermes-openrouter,hermes,,evaluation_failed,3,40.172,,,,valid,0,0,0,host
20260824T215424Z-1eb933,20260824T213115Z-78d3985e,tokenbucket,hermes-openrouter,hermes,,evaluation_failed,2,40.219,,,,valid,0,0,0,host
20260824T215338Z-8a410d,20260824T213115Z-78d3985e,tokenbucket,claude-code,claude-code,stealth/ox-alpha[1m],passed,3,78.75,213559,0.332966,,valid,1,3,5,host
20260824T215346Z-1b5d2b,20260824T213115Z-78d3985e,tokenbucket,hermes-openrouter,hermes,,evaluation_failed,1,37.516,,,,valid,0,0,0,host
20260824T215213Z-c0a458,20260824T213115Z-78d3985e,tokenbucket,claude-code,claude-code,stealth/ox-alpha[1m],passed,2,93.0,215387,0.309746,,valid,1,5,5,host
20260824T215204Z-ebd5d0,20260824T213115Z-78d3985e,tokenbucket,claude-code,claude-code,stealth/ox-alpha[1m],passed,1,93.937,245580,0.430977,,valid,1,9,8,host
20260824T215129Z-e33ab6,20260824T213115Z-78d3985e,prefsfile,hermes-openrouter,hermes,,evaluation_failed,3,44.546,,,,valid,0,0,0,host
20260824T215120Z-02fb8e,20260824T213115Z-78d3985e,prefsfile,hermes-openrouter,hermes,,evaluation_failed,2,43.625,,,,valid,0,0,0,host
20260824T215045Z-a1c5df,20260824T213115Z-78d3985e,prefsfile,hermes-openrouter,hermes,,evaluation_failed,1,43.266,,,,valid,0,0,0,host
20260824T214617Z-0c2f86,20260824T213115Z-78d3985e,prefsfile,claude-code,claude-code,stealth/ox-alpha[1m],passed,1,302.735,380710,0.647723,,valid,1,22,6,host
20260824T214858Z-c4e7c1,20260824T213115Z-78d3985e,prefsfile,claude-code,claude-code,stealth/ox-alpha[1m],passed,3,106.75,250932,0.34768,,valid,1,23,2,host
20260824T214629Z-375c6c,20260824T213115Z-78d3985e,prefsfile,claude-code,claude-code,stealth/ox-alpha[1m],passed,2,149.062,216936,0.39796100000000006,,valid,1,21,4,host
20260824T214403Z-2cc560,20260824T213115Z-78d3985e,csvroll,claude-code,claude-code,stealth/ox-alpha[1m],passed,3,146.125,314177,0.39798999999999995,,valid,1,13,12,host
20260824T214533Z-9d453f,20260824T213115Z-78d3985e,csvroll,hermes-openrouter,hermes,,evaluation_failed,3,44.016,,,,valid,0,0,0,host
20260824T214452Z-082d1b,20260824T213115Z-78d3985e,csvroll,hermes-openrouter,hermes,,evaluation_failed,2,41.469,,,,valid,0,0,0,host
20260824T214412Z-e892d4,20260824T213115Z-78d3985e,csvroll,hermes-openrouter,hermes,,evaluation_failed,1,39.719,,,,valid,0,0,0,host
20260824T214103Z-d1f545,20260824T213115Z-78d3985e,csvroll,claude-code,claude-code,stealth/ox-alpha[1m],passed,1,189.156,191846,0.44089800000000007,,valid,1,12,11,host
20260824T214127Z-e153db,20260824T213115Z-78d3985e,csvroll,claude-code,claude-code,stealth/ox-alpha[1m],passed,2,155.922,253998,0.47200999999999993,,valid,1,12,11,host
20260824T214049Z-bd999f,20260824T213115Z-78d3985e,iniforge,hermes-openrouter,hermes,,evaluation_failed,3,38.359,,,,valid,0,0,0,host
20260824T213806Z-6631b2,20260824T213115Z-78d3985e,iniforge,claude-code,claude-code,stealth/ox-alpha[1m],passed,2,176.813,310173,0.47485099999999997,,valid,1,13,7,host
20260824T214006Z-4579ed,20260824T213115Z-78d3985e,iniforge,hermes-openrouter,hermes,,evaluation_failed,2,42.219,,,,valid,0,0,0,host
20260824T213926Z-384f37,20260824T213115Z-78d3985e,iniforge,hermes-openrouter,hermes,,evaluation_failed,1,40.313,,,,valid,0,0,0,host
20260824T213833Z-01a719,20260824T213115Z-78d3985e,iniforge,claude-code,claude-code,stealth/ox-alpha[1m],passed,3,52.734,181578,0.23905400000000002,,valid,1,13,7,host
20260824T213750Z-a85e8e,20260824T213115Z-78d3985e,iniforge,claude-code,claude-code,stealth/ox-alpha[1m],passed,1,43.235,180458,0.361243,,valid,1,13,7,host
20260824T213726Z-72d322,20260824T213115Z-78d3985e,ledgerpad,hermes-openrouter,hermes,,evaluation_failed,3,40.031,,,,valid,0,0,0,host
20260824T213704Z-460e91,20260824T213115Z-78d3985e,ledgerpad,hermes-openrouter,hermes,,evaluation_failed,2,45.203,,,,valid,0,0,0,host
20260824T213528Z-e96828,20260824T213115Z-78d3985e,ledgerpad,claude-code,claude-code,stealth/ox-alpha[1m],passed,3,117.516,242299,0.448872,,valid,1,6,1,host
20260824T213625Z-4ca42a,20260824T213115Z-78d3985e,ledgerpad,hermes-openrouter,hermes,,evaluation_failed,1,39.672,,,,valid,0,0,0,host
20260824T213431Z-c01494,20260824T213115Z-78d3985e,ledgerpad,claude-code,claude-code,stealth/ox-alpha[1m],passed,2,113.171,277273,0.34532599999999997,,valid,1,6,1,host
20260824T213400Z-90a0ec,20260824T213115Z-78d3985e,ledgerpad,claude-code,claude-code,stealth/ox-alpha[1m],passed,1,88.079,212586,0.273356,,valid,1,8,1,host
